Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,1975.0,2000.0,1962.5,1975.0,1341.2115478515625,31497000
2014-01-03,1950.0,1950.0,1912.5,1925.0,1307.2568359375,27544000
2014-01-06,1925.0,1925.0,1830.0,1840.0,1249.533935546875,37620800
2014-01-07,1840.0,1857.5,1835.0,1837.5,1247.836181640625,52598000
2014-01-08,1837.5,1872.5,1837.5,1862.5,1264.8133544921875,37674800
2014-01-09,1875.0,1910.0,1862.5,1910.0,1297.0704345703125,39287000
2014-01-10,1912.5,1997.5,1900.0,1965.0,1334.4205322265625,29462000
2014-01-13,2050.0,2115.0,2042.5,2112.5,1434.5869140625,110926400
2014-01-15,2150.0,2210.0,2112.5,2187.5,1485.51904296875,65734600
2014-01-16,2187.5,2187.5,2100.0,2152.5,1461.750732421875,24928600
2014-01-17,2160.0,2185.0,2125.0,2137.5,1451.564453125,20837000
2014-01-20,2100.0,2135.0,2100.0,2117.5,1437.982421875,13391000
2014-01-21,2130.0,2155.0,2127.5,2132.5,1448.1689453125,18931400
2014-01-22,2100.0,2135.0,2090.0,2115.0,1436.28466796875,37848200
2014-01-23,2125.0,2147.5,2115.0,2137.5,1451.564453125,39536400
2014-01-24,2150.0,2152.5,2102.5,2150.0,1460.052978515625,49486400
2014-01-27,2087.5,2110.0,2037.5,2110.0,1432.8892822265625,48199200
2014-01-28,2087.5,2170.0,2075.0,2165.0,1470.239501953125,40909800
2014-01-29,2165.0,2190.0,2165.0,2185.0,1483.8214111328125,45962400
2014-01-30,2125.0,2180.0,2102.5,2180.0,1480.4259033203125,43288400
2014-02-03,2160.0,2172.5,2125.0,2135.0,1449.86669921875,41093400
2014-02-04,2110.0,2125.0,2100.0,2110.0,1432.8892822265625,28653000
2014-02-05,2150.0,2155.0,2062.5,2090.0,1419.3074951171875,57639600
2014-02-06,2092.5,2115.0,2077.5,2115.0,1436.28466796875,67554800
2014-02-07,2122.5,2140.0,2117.5,2125.0,1443.0755615234375,44143800
2014-02-10,2150.0,2152.5,2135.0,2140.0,1453.26220703125,36764800
2014-02-11,2140.0,2155.0,2137.5,2140.0,1453.26220703125,67013000
2014-02-12,2152.5,2160.0,2145.0,2155.0,1463.4486083984375,46860000
2014-02-13,2150.0,2167.5,2142.5,2157.5,1465.146240234375,61075800
2014-02-14,2165.0,2195.0,2162.5,2190.0,1487.2166748046875,86787600
2014-02-17,2200.0,2257.5,2200.0,2235.0,1517.7760009765625,109491400
2014-02-18,2235.0,2245.0,2207.5,2225.0,1510.9849853515625,55690000
2014-02-19,2250.0,2267.5,2232.5,2235.0,1517.7760009765625,88150600
2014-02-20,2217.5,2257.5,2215.0,2250.0,1527.9627685546875,72062600
2014-02-21,2257.5,2385.0,2257.5,2362.5,1604.3607177734375,116271600
2014-02-24,2362.5,2362.5,2327.5,2327.5,1580.592529296875,53371000
2014-02-25,2332.5,2347.5,2260.0,2272.5,1543.2421875,69220800
2014-02-26,2272.5,2280.0,2192.5,2207.5,1499.1011962890625,98249000
2014-02-27,2220.0,2260.0,2220.0,2252.5,1529.660400390625,83821600
2014-02-28,2275.0,2282.5,2237.5,2275.0,1544.9400634765625,79660600
2014-03-03,2235.0,2262.5,2225.0,2225.0,1510.9849853515625,53489200
